C6,5: 1:100,gfp,Unknown,22.6128,,,,,,
C7,6: 1:100,Ori-C,Unknown,32.1124,,,,,,
C7,6: 1:100,gfp,Unknown,22.8488,,,,,,
C8,7: 1:100,Ori-C,Unknown,32.6437,,,,,,
C8,7: 1:100,gfp,Unknown,22.7059,,,,,,
C9,8: 1:100,Ori-C,Unknown,33.6275,,,,,,
C9,8: 1:100,gfp,Unknown,22.6335,,,,,,
C10,9: 1:100,Ori-C,Unknown,32.6122,,,,,,
C10,9: 1:100,gfp,Unknown,22.9691,,,,,,
C11,10: 1:100,Ori-C,Unknown,35.1989,,,,,,
C11,10: 1:100,gfp,Unknown,23.0996,,,,,,
D2,1: 1:1000,Ori-C,Unknown,37.2037,,,,,,
D2,1: 1:1000,gfp,Unknown,23.5224,,,,,,
D3,2: 1:1000,Ori-C,Unknown,34.6879,,,,,,
D3,2: 1:1000,gfp,Unknown,23.1765,,,,,,
D4,3: 1:1000,Ori-C,Unknown,36.0068,,,,,,
D4,3: 1:1000,gfp,Unknown,23.2112,,,,,,
D5,4: 1:1000,Ori-C,Unknown,34.2715,,,,,,
D5,4: 1:1000,gfp,Unknown,22.8615,,,,,,
D6,5: 1:1000,Ori-C,Unknown,36.1676,,,,,,
D6,5: 1:1000,gfp,Unknown,22.8974,,,,,,
D7,6: 1:1000,Ori-C,Unknown,35.8733,,,,,,
D7,6: 1:1000,gfp,Unknown,23.0806,,,,,,
D8,7: 1:1000,Ori-C,Unknown,36.461,,,,,,
D8,7: 1:1000,gfp,Unknown,22.85,,,,,,
D9,8: 1:1000,Ori-C,Unknown,37.9067,,,,,,
D9,8: 1:1000,gfp,Unknown,23.2201,,,,,,
D10,9: 1:1000,Ori-C,Unknown,36.4998,,,,,,
D10,9: 1:1000,gfp,Unknown,23.0376,,,,,,
D11,10: 1:1000,Ori-C,Unknown,Undetermined,,,,,,
D11,10: 1:1000,gfp,Unknown,Undetermined,,,,,,
H1,NTC,Ori-C,NTC,Undetermined,,,,,,
H1,NTC,gfp,NTC,22.5627,,,,,,
H12,PTC,Ori-C,Unknown,30.4976,,,,,,
H12,PTC,gfp,Unknown,21.9624,,,,,,
